,Unnamed: 0.1,Unnamed: 0,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
547082,547082,6641489,1849-07-01,21.542,3.619,San Jose,United States,37.78,122.03
547094,547094,6641501,1850-07-01,19.548,1.411,San Jose,United States,37.78,122.03
547106,547106,6641513,1851-07-01,19.294,3.188,San Jose,United States,37.78,122.03
547118,547118,6641525,1852-07-01,20.349,3.472,San Jose,United States,37.78,122.03
547130,547130,6641537,1853-07-01,19.593,2.345,San Jose,United States,37.78,122.03
547142,547142,6641549,1854-07-01,20.651,2.002,San Jose,United States,37.78,122.03
547154,547154,6641561,1855-07-01,19.522,3.019,San Jose,United States,37.78,122.03
547166,547166,6641573,1856-07-01,20.487,1.196,San Jose,United States,37.78,122.03
547178,547178,6641585,1857-07-01,19.456,2.678,San Jose,United States,37.78,122.03
547190,547190,6641597,1858-07-01,19.195,2.522,San Jose,United States,37.78,122.03
547202,547202,6641609,1859-07-01,18.453,3.83,San Jose,United States,37.78,122.03
547214,547214,6641621,1860-07-01,19.437,0.951,San Jose,United States,37.78,122.03
547226,547226,6641633,1861-07-01,20.18,2.5,San Jose,United States,37.78,122.03
547238,547238,6641645,1862-07-01,20.325,2.3680000000000003,San Jose,United States,37.78,122.03
547250,547250,6641657,1863-07-01,20.286,1.3330000000000002,San Jose,United States,37.78,122.03
547262,547262,6641669,1864-07-01,19.928,1.472,San Jose,United States,37.78,122.03
547274,547274,6641681,1865-07-01,20.14,2.1,San Jose,United States,37.78,122.03
547286,547286,6641693,1866-07-01,19.833,1.857,San Jose,United States,37.78,122.03
547298,547298,6641705,1867-07-01,19.782,1.461,San Jose,United States,37.78,122.03
547310,547310,6641717,1868-07-01,19.624,1.119,San Jose,United States,37.78,122.03
547322,547322,6641729,1869-07-01,20.175,1.565,San Jose,United States,37.78,122.03
547334,547334,6641741,1870-07-01,20.082,4.5280000000000005,San Jose,United States,37.78,122.03
547346,547346,6641753,1871-07-01,19.439,2.276,San Jose,United States,37.78,122.03
547358,547358,6641765,1872-07-01,19.793,2.873,San Jose,United States,37.78,122.03
547370,547370,6641777,1873-07-01,19.923,1.631,San Jose,United States,37.78,122.03
547382,547382,6641789,1874-07-01,19.798,0.945,San Jose,United States,37.78,122.03
547394,547394,6641801,1875-07-01,19.984,1.493,San Jose,United States,37.78,122.03
547406,547406,6641813,1876-07-01,19.228,0.908,San Jose,United States,37.78,122.03
547418,547418,6641825,1877-07-01,20.252,0.904,San Jose,United States,37.78,122.03
547430,547430,6641837,1878-07-01,18.992,1.167,San Jose,United States,37.78,122.03
547442,547442,6641849,1879-07-01,19.096,1.256,San Jose,United States,37.78,122.03
547454,547454,6641861,1880-07-01,19.049,1.047,San Jose,United States,37.78,122.03
547466,547466,6641873,1881-07-01,19.711,1.046,San Jose,United States,37.78,122.03
547478,547478,6641885,1882-07-01,19.711,0.711,San Jose,United States,37.78,122.03
547490,547490,6641897,1883-07-01,19.999,0.802,San Jose,United States,37.78,122.03
547502,547502,6641909,1884-07-01,19.668,1.494,San Jose,United States,37.78,122.03
547514,547514,6641921,1885-07-01,19.56,1.655,San Jose,United States,37.78,122.03
547526,547526,6641933,1886-07-01,20.357,0.605,San Jose,United States,37.78,122.03
547538,547538,6641945,1887-07-01,18.472,0.626,San Jose,United States,37.78,122.03
547550,547550,6641957,1888-07-01,19.656,1.4780000000000002,San Jose,United States,37.78,122.03
547562,547562,6641969,1889-07-01,19.276,0.873,San Jose,United States,37.78,122.03
547574,547574,6641981,1890-07-01,19.747,0.79,San Jose,United States,37.78,122.03
547586,547586,6641993,1891-07-01,20.751,0.529,San Jose,United States,37.78,122.03
547598,547598,6642005,1892-07-01,18.582,0.7809999999999999,San Jose,United States,37.78,122.03
547610,547610,6642017,1893-07-01,19.517,0.978,San Jose,United States,37.78,122.03
547622,547622,6642029,1894-07-01,19.409,0.8290000000000001,San Jose,United States,37.78,122.03
547634,547634,6642041,1895-07-01,18.955,0.669,San Jose,United States,37.78,122.03
547646,547646,6642053,1896-07-01,21.049,0.7490000000000001,San Jose,United States,37.78,122.03
547658,547658,6642065,1897-07-01,20.338,0.809,San Jose,United States,37.78,122.03
547670,547670,6642077,1898-07-01,19.403,1.423,San Jose,United States,37.78,122.03
547682,547682,6642089,1899-07-01,18.801,0.622,San Jose,United States,37.78,122.03
547694,547694,6642101,1900-07-01,19.995,0.6940000000000001,San Jose,United States,37.78,122.03
547706,547706,6642113,1901-07-01,19.05,1.022,San Jose,United States,37.78,122.03
547718,547718,6642125,1902-07-01,19.926,0.4579999999999999,San Jose,United States,37.78,122.03
547730,547730,6642137,1903-07-01,18.643,0.313,San Jose,United States,37.78,122.03
547742,547742,6642149,1904-07-01,19.015,0.499,San Jose,United States,37.78,122.03
547754,547754,6642161,1905-07-01,20.102,0.257,San Jose,United States,37.78,122.03
547766,547766,6642173,1906-07-01,21.393,0.513,San Jose,United States,37.78,122.03
547778,547778,6642185,1907-07-01,19.148,0.4,San Jose,United States,37.78,122.03
547790,547790,6642197,1908-07-01,20.539,0.715,San Jose,United States,37.78,122.03
547802,547802,6642209,1909-07-01,18.948,0.596,San Jose,United States,37.78,122.03
547814,547814,6642221,1910-07-01,19.215,0.643,San Jose,United States,37.78,122.03
